transaction_id,date,ministry,vendor_id,vendor_name,category,amount,payment_terms_days,procurement_method,contract_description,_planted_pattern 
T-01355,2025-09-27,Ministry of Justice,V-047,Drift Care,Medical equipment,12600,30,Open tender,surgical instruments — Q3 — east wing,
T-01356,2024-12-18,Ministry of Public Works,V-166,Junction Medical,Medical equipment,12300,60,Limited tender,imaging consumables — Q4 — west wing,
T-01357,2025-04-07,Ministry of Digital Affairs,V-018,Yara Construction,Construction,28400,30,Limited tender,roof refurbishment — Q2 — south wing,
T-01358,2025-12-24,Ministry of Justice,V-186,Bluefin Group,Consulting,33400,60,Open tender,strategy advisory — annual contract,
T-01359,2024-12-17,Ministry of Digital Affairs,V-099,Delta Cargo,Transport,14300,45,Open tender,fleet maintenance — Q3 — east wing,
T-01360,2025-11-04,Ministry of Justice,V-064,Ember Cargo,Transport,8000,60,Simplified,fleet maintenance — Q1 — north wing,
T-01361,2024-03-03,Ministry of Health,V-028,Keystone Care,Medical equipment,29400,60,Open tender,diagnostic kits — Q3 — east wing,
T-01362,2024-07-08,Ministry of Transport,V-123,Rivera Freight,Transport,20800,60,Open tender,vehicle leasing — framework lot A,
T-01363,2024-10-17,Ministry of Justice,V-040,Legacy Trading,Office supplies,7000,30,Simplified,paper and toner order — Q1 — north wing,
T-01364,2024-12-08,Ministry of Public Works,V-012,Bluefin Freight,Transport,6900,30,Simplified,fuel supply — Q1 — north wing,
T-01365,2024-02-29,Ministry of Digital Affairs,V-058,Forge Supplies,Office supplies,9900,30,Simplified,stationery resupply — Q4 — west wing,
T-01366,2025-11-05,Ministry of Health,V-176,Northbound Consulting,Consulting,105300,60,Limited tender,compliance audit — Q3 — east wing,
T-01367,2024-08-21,Ministry of Health,V-029,Pioneer Transport,Transport,27900,30,Simplified,delivery contract — phase 2,
T-01368,2024-11-27,Ministry of Health,V-031,Junction Transport,Transport,10300,14,Simplified,delivery contract — Q3 — east wing,
T-01369,2024-12-24,Ministry of Public Works,V-046,Yara Engineering,Construction,62800,30,Open tender,site preparation — phase 1,
T-01370,2024-06-19,Ministry of Public Works,V-160,Vertex Cargo,Transport,20000,30,Limited tender,vehicle leasing — phase 1,
T-01371,2025-02-11,Ministry of Education,V-183,Helios Engineering,Construction,18300,60,Open tender,site preparation — phase 2,
T-01372,2024-11-30,Ministry of Public Works,V-038,Indigo Stationery,Office supplies,5800,45,Simplified,paper and toner order — Q2 — south wing,
T-01373,2025-09-24,Ministry of Transport,V-148,Westwind Distributors,Office supplies,8000,30,Simplified,ergonomic chairs batch — Q3 — east wing,
T-01374,2025-01-06,Ministry of Digital Affairs,V-197,Apex Consulting,Consulting,29800,30,Limited tender,compliance audit — phase 2,
T-01375,2025-06-11,Ministry of Public Works,V-036,Forge Digital,IT services,63800,30,Open tender,support contract — framework lot A,
T-01376,2024-12-31,Ministry of Public Works,V-138,Juno Transport,Transport,10000,60,Limited tender,fleet maintenance — annual contract,
T-01377,2025-05-01,Ministry of Digital Affairs,V-135,Nexus Stationery,Office supplies,8000,45,Simplified,paper and toner order — Q4 — west wing,
T-01378,2025-09-04,Ministry of Justice,V-093,Delta Advisory,Consulting,14100,14,Simplified,compliance audit — Q3 — east wing,
T-01379,2024-05-15,Ministry of Education,V-029,Pioneer Transport,Transport,20800,60,Limited tender,vehicle leasing — framework lot A,
T-01380,2024-08-30,Ministry of Public Works,V-037,Drift Transport,Transport,9300,60,Simplified,fuel supply — Q4 — west wing,
T-01381,2025-08-21,Ministry of Digital Affairs,V-058,Forge Supplies,Office supplies,7400,90,Simplified,ergonomic chairs batch — annual contract,
T-01382,2024-03-30,Ministry of Digital Affairs,V-188,Quanta Advisory,Consulting,17400,30,Simplified,strategy advisory — Q2 — south wing,
T-01383,2025-05-19,Ministry of Transport,V-123,Rivera Freight,Transport,18000,14,Open tender,fuel supply — Q2 — south wing,
T-01384,2024-11-09,Ministry of Education,V-063,Indigo Health Systems,Medical equipment,14000,60,Limited tender,diagnostic kits — framework lot A,
T-01385,2024-04-09,Ministry of Public Works,V-191,Summit Transport,Transport,11400,60,Limited tender,logistics services — phase 2,
T-01386,2024-02-24,Ministry of Education,V-114,Evergreen Works,Construction,6500,30,Simplified,office renovation — Q1 — north wing,
T-01387,2024-12-04,Ministry of Public Works,V-155,Yara Works,Construction,24300,14,Limited tender,roof refurbishment — framework lot B,
T-01388,2025-01-04,Ministry of Digital Affairs,V-183,Helios Engineering,Construction,44300,30,Simplified,site preparation — annual contract,
T-01389,2025-09-20,Ministry of Education,V-041,Zenith MedTech,Medical equipment,45600,30,Limited tender,diagnostic kits — annual contract,
T-01390,2024-09-12,Ministry of Justice,V-159,Bluefin Supplies,Office supplies,12200,60,Limited tender,desk and shelving — Q2 — south wing,
T-01391,2024-11-12,Ministry of Public Works,V-178,Yara Digital,IT services,112200,30,Open tender,ERP rollout — Q1 — north wing,
T-01392,2024-08-01,Ministry of Health,V-096,Junction Strategy,Consulting,20300,30,Limited tender,risk assessment — phase 2,
T-01393,2025-02-09,Ministry of Education,V-008,Junction Builders,Construction,30000,30,Limited tender,facade works — Q1 — north wing,
T-01394,2024-03-20,Ministry of Health,V-194,Orion Digital,IT services,264600,30,Open tender,ERP rollout — phase 1,
T-01395,2024-12-11,Ministry of Health,V-022,Orion Freight,Construction,36100,45,Limited tender,office renovation — phase 2,
T-01396,2024-11-19,Ministry of Public Works,V-024,Rivera Strategy,IT services,47700,45,Simplified,support contract — Q4 — west wing,
T-01397,2025-12-22,Ministry of Digital Affairs,V-081,Granite Engineering,Construction,15100,90,Open tender,office renovation — phase 2,
T-01398,2025-01-05,Ministry of Education,V-105,Mosaic Medical,Medical equipment,26500,30,Limited tender,MRI maintenance — annual contract,
T-01399,2025-12-24,Ministry of Education,V-123,Rivera Freight,Transport,7500,30,Limited tender,logistics services — Q2 — south wing,
T-01400,2024-11-28,Ministry of Digital Affairs,V-161,Helios Office Group,Office supplies,26600,60,Open tender,ergonomic chairs batch — Q3 — east wing,
T-01401,2024-06-07,Ministry of Transport,V-129,Bluefin Solutions,IT services,48400,30,Open tender,network upgrade — Q3 — east wing,
T-01402,2025-09-29,Ministry of Health,V-087,Bluefin Systems,IT services,67000,60,Open tender,network upgrade — Q4 — west wing,
T-01403,2024-03-15,Ministry of Public Works,V-054,Trident Works,Transport,29100,30,Simplified,fleet maintenance — Q1 — north wing,
T-01404,2024-10-25,Ministry of Health,V-037,Drift Transport,Transport,20500,60,Limited tender,logistics services — Q2 — south wing,
T-01405,2025-04-28,Ministry of Transport,V-117,Xenon Software,IT services,26600,30,Simplified,support contract — phase 2,
T-01406,2024-12-12,Ministry of Transport,V-091,Keystone Engineering,Construction,14800,45,Limited tender,roof refurbishment — phase 1,
T-01407,2024-09-21,Ministry of Health,V-196,Vertex Group,Consulting,11800,30,Open tender,transformation programme — framework lot A,
T-01408,2024-07-02,Ministry of Justice,V-011,Acme Stationery,Office supplies,7000,30,Simplified,ergonomic chairs batch — framework lot A,
T-01409,2025-12-19,Ministry of Health,V-094,Acme Strategy,Consulting,67300,30,Open tender,compliance audit — framework lot B,
T-01410,2025-04-06,Ministry of Justice,V-116,Westwind Tech,IT services,8900,30,Limited tender,cloud migration — Q4 — west wing,
T-01411,2025-04-04,Ministry of Transport,V-180,Acme Logistics,Transport,8600,60,Simplified,logistics services — Q3 — east wing,
T-01412,2025-12-20,Ministry of Public Works,V-146,Meridian Engineering,Construction,97000,30,Open tender,office renovation — phase 2,
T-01413,2025-04-24,Ministry of Health,V-120,Junction Freight,Transport,10300,60,Limited tender,fleet maintenance — Q3 — east wing,
T-01414,2025-03-28,Ministry of Public Works,V-188,Quanta Advisory,Consulting,7200,30,Open tender,process review — annual contract,
T-01415,2024-06-22,Ministry of Education,V-085,Pioneer Builders,Construction,23600,30,Limited tender,roof refurbishment — Q2 — south wing,
T-01416,2025-01-15,Ministry of Education,V-072,Orion Care,Medical equipment,18800,60,Limited tender,diagnostic kits — phase 2,
T-01417,2024-06-26,Ministry of Transport,V-146,Meridian Engineering,Construction,144400,30,Open tender,roof refurbishment — framework lot A,
T-01418,2024-02-16,Ministry of Digital Affairs,V-055,Meridian Health Systems,Medical equipment,43000,90,Open tender,surgical instruments — phase 1,
T-01419,2024-12-21,Ministry of Public Works,V-065,Quanta Solutions,IT services,10800,14,Limited tender,cloud migration — phase 1,
T-01420,2024-01-15,Ministry of Transport,V-183,Helios Engineering,Construction,107100,30,Open tender,site preparation — Q1 — north wing,
T-01421,2025-08-14,Ministry of Transport,V-024,Rivera Strategy,Consulting,10800,90,Limited tender,process review — Q4 — west wing,
T-01422,2024-02-21,Ministry of Education,V-090,Delta Works,Office supplies,27600,30,Limited tender,printer cartridges — phase 2,
T-01423,2024-02-13,Ministry of Justice,V-178,Yara Digital,IT services,22300,30,Open tender,ERP rollout — Q2 — south wing,
T-01424,2024-03-19,Ministry of Digital Affairs,V-186,Bluefin Group,Consulting,11500,30,Open tender,risk assessment — Q1 — north wing,
T-01425,2025-10-27,Ministry of Transport,V-039,Junction Cargo,Transport,23800,30,Simplified,fleet maintenance — annual contract,
T-01426,2024-08-31,Ministry of Education,V-068,Xenon Strategy,Consulting,25700,30,Limited tender,compliance audit — Q2 — south wing,
T-01427,2024-07-02,Ministry of Justice,V-010,Cascade Solutions,IT services,20600,30,Simplified,ERP rollout — annual contract,
T-01428,2024-03-16,Ministry of Justice,V-056,Keystone Distributors,Office supplies,7500,90,Open tender,paper and toner order — phase 2,
T-01429,2024-08-20,Ministry of Health,V-094,Acme Strategy,Consulting,7800,30,Limited tender,compliance audit — framework lot A,
T-01430,2024-06-12,Ministry of Justice,V-106,Fortis Diagnostics,Medical equipment,84400,30,Open tender,ICU monitors — Q2 — south wing,
T-01431,2025-04-12,Ministry of Education,V-046,Yara Engineering,Construction,78500,30,Open tender,facade works — annual contract,
T-01432,2025-04-20,Ministry of Digital Affairs,V-098,Delta Solutions,IT services,38300,30,Open tender,endpoint refresh — Q2 — south wing,
T-01433,2025-03-23,Ministry of Justice,V-023,Orion Construction,Construction,141700,30,Open tender,roof refurbishment — Q2 — south wing,
T-01434,2025-01-23,Ministry of Digital Affairs,V-128,Indigo Office Group,Office supplies,6200,30,Simplified,printer cartridges — framework lot B,
T-01435,2024-08-26,Ministry of Education,V-149,Ivory Partners,Consulting,43400,60,Open tender,process review — framework lot A,
T-01436,2025-03-21,Ministry of Health,V-142,Granite Digital,IT services,50400,30,Open tender,endpoint refresh — framework lot A,
T-01437,2024-03-21,Ministry of Public Works,V-106,Fortis Diagnostics,Medical equipment,22900,45,Open tender,MRI maintenance — phase 2,
T-01438,2024-01-06,Ministry of Transport,V-058,Forge Supplies,Office supplies,9400,30,Simplified,printer cartridges — Q4 — west wing,
T-01439,2024-06-21,Ministry of Education,V-002,Rivera Transport,Transport,6200,14,Simplified,vehicle leasing — framework lot B,
T-01440,2025-11-26,Ministry of Public Works,V-190,Cascade Consulting,Consulting,5400,90,Simplified,process review — framework lot B,
T-01441,2025-07-11,Ministry of Justice,V-101,Fortis Systems,IT services,20500,60,Open tender,network upgrade — Q3 — east wing,
T-01442,2024-06-28,Ministry of Transport,V-163,Zenith Office Group,Office supplies,7600,30,Simplified,desk and shelving — Q3 — east wing,
T-01443,2024-04-26,Ministry of Health,V-112,Evergreen Supplies,Office supplies,15300,30,Open tender,desk and shelving — annual contract,
T-01444,2024-12-23,Ministry of Transport,V-196,Vertex Group,Consulting,29100,30,Limited tender,process review — Q2 — south wing,
T-01445,2025-02-12,Ministry of Education,V-024,Rivera Strategy,Consulting,26200,45,Limited tender,strategy advisory — framework lot B,
T-01446,2025-02-05,Ministry of Public Works,V-021,Evergreen Logistics,Transport,8700,45,Simplified,vehicle leasing — Q3 — east wing,
T-01447,2025-06-13,Ministry of Education,V-062,Forge Logistics,Transport,6900,30,Simplified,logistics services — phase 1,
T-01448,2025-01-09,Ministry of Health,V-169,Unity Movers,Transport,11900,30,Limited tender,delivery contract — Q2 — south wing,
T-01449,2024-06-25,Ministry of Transport,V-029,Pioneer Transport,Transport,19600,30,Limited tender,vehicle leasing — Q3 — east wing,
T-01450,2025-01-02,Ministry of Education,V-024,Rivera Strategy,Consulting,39800,60,Open tender,compliance audit — Q2 — south wing,
T-01451,2025-03-12,Ministry of Digital Affairs,V-126,Fortis Engineering,Construction,45700,30,Limited tender,office renovation — Q4 — west wing,
T-01452,2025-12-20,Ministry of Public Works,V-176,Northbound Consulting,Consulting,76500,30,Limited tender,process review — Q3 — east wing,
T-01453,2025-09-07,Ministry of Justice,V-077,Forge Stationery,Office supplies,10200,30,Limited tender,paper and toner order — Q2 — south wing,
T-01454,2024-05-07,Ministry of Health,V-088,Drift Stationery,Consulting,28000,30,Simplified,process review — framework lot B,
T-01455,2024-10-29,Ministry of Justice,V-190,Cascade Consulting,Consulting,12800,30,Limited tender,strategy advisory — framework lot B,
T-01456,2025-08-29,Ministry of Education,V-132,Xenon Works,Construction,18100,30,Limited tender,office renovation — phase 2,
T-01457,2024-07-31,Ministry of Transport,V-036,Forge Digital,IT services,23300,60,Open tender,endpoint refresh — framework lot A,
T-01458,2024-03-26,Ministry of Public Works,V-052,Acme Partners,Office supplies,13300,30,Open tender,printer cartridges — annual contract,
T-01459,2025-12-28,Ministry of Digital Affairs,V-132,Xenon Works,Transport,9000,30,Simplified,vehicle leasing — annual contract,
T-01460,2025-12-13,Ministry of Education,V-027,Rivera Logistics,Transport,23100,30,Open tender,logistics services — annual contract,
T-01461,2025-09-21,Ministry of Justice,V-115,Glacier Software,IT services,43000,60,Open tender,cloud migration — annual contract,
T-01462,2024-06-08,Ministry of Health,V-110,Zenith Stationery,Office supplies,25100,60,Limited tender,printer cartridges — Q3 — east wing,
T-01463,2024-11-25,Ministry of Digital Affairs,V-009,Ivory Movers,Office supplies,8700,30,Simplified,desk and shelving — phase 2,
T-01464,2024-09-05,Ministry of Education,V-102,Mosaic Construction,Construction,31400,30,Limited tender,structural repairs — Q4 — west wing,
T-01465,2025-08-17,Ministry of Transport,V-019,Summit Care,Medical equipment,53400,30,Open tender,MRI maintenance — Q1 — north wing,
T-01466,2025-02-13,Ministry of Justice,V-082,Bluefin Trading,Office supplies,6900,30,Simplified,stationery resupply — Q4 — west wing,
T-01467,2024-08-12,Ministry of Education,V-144,Drift Software,IT services,15400,30,Limited tender,cloud migration — framework lot B,
T-01468,2025-04-16,Ministry of Digital Affairs,V-072,Orion Care,Medical equipment,44900,60,Simplified,MRI maintenance — annual contract,
T-01469,2024-05-11,Ministry of Education,V-175,Citadel Builders,Construction,71800,30,Open tender,office renovation — framework lot A,
T-01470,2024-08-07,Ministry of Public Works,V-128,Indigo Office Group,Office supplies,21400,30,Limited tender,ergonomic chairs batch — phase 2,
T-01471,2024-01-29,Ministry of Digital Affairs,V-152,Granite Works,Construction,33600,30,Limited tender,facade works — Q1 — north wing,
T-01472,2025-02-15,Ministry of Justice,V-119,Harbor Logistics,Transport,35400,30,Open tender,delivery contract — Q1 — north wing,
T-01473,2024-02-26,Ministry of Public Works,V-087,Bluefin Systems,IT services,11700,14,Limited tender,endpoint refresh — phase 1,
T-01474,2025-10-16,Ministry of Transport,V-082,Bluefin Trading,Office supplies,6100,30,Simplified,printer cartridges — Q1 — north wing,
T-01475,2024-04-16,Ministry of Digital Affairs,V-101,Fortis Systems,IT services,52000,30,Single-source,cloud migration — phase 2,
T-01476,2024-03-05,Ministry of Education,V-159,Bluefin Supplies,Office supplies,11800,60,Limited tender,paper and toner order — phase 2,
T-01477,2024-08-25,Ministry of Digital Affairs,V-177,Apex Group,Consulting,17400,14,Limited tender,risk assessment — framework lot B,
T-01478,2025-12-25,Ministry of Health,V-002,Rivera Transport,Construction,24500,45,Limited tender,office renovation — phase 1,
T-01479,2024-08-13,Ministry of Public Works,V-020,Kelvin Stationery,Office supplies,8600,45,Simplified,stationery resupply — Q3 — east wing,
T-01480,2025-06-20,Ministry of Education,V-036,Forge Digital,IT services,80700,30,Open tender,support contract — annual contract,
T-01481,2025-11-20,Ministry of Justice,V-164,Apex Diagnostics,Medical equipment,14600,30,Limited tender,surgical instruments — framework lot A,
T-01482,2024-02-04,Ministry of Transport,V-072,Orion Care,Medical equipment,97300,30,Open tender,ICU monitors — Q2 — south wing,
T-01483,2024-01-13,Ministry of Digital Affairs,V-091,Keystone Engineering,Construction,50400,30,Limited tender,site preparation — Q2 — south wing,
T-01484,2025-01-03,Ministry of Public Works,V-020,Kelvin Stationery,IT services,19700,30,Limited tender,network upgrade — Q4 — west wing,
T-01485,2024-06-27,Ministry of Justice,V-125,Forge Software,IT services,27700,30,Limited tender,support contract — phase 2,
T-01486,2025-05-07,Ministry of Health,V-195,Evergreen Movers,Office supplies,5700,60,Simplified,ergonomic chairs batch — Q4 — west wing,
T-01487,2025-06-27,Ministry of Education,V-094,Acme Strategy,Consulting,23200,30,Limited tender,compliance audit — Q4 — west wing,
T-01488,2024-03-30,Ministry of Justice,V-018,Yara Construction,Construction,46900,30,Limited tender,office renovation — Q3 — east wing,
T-01489,2024-09-08,Ministry of Public Works,V-119,Harbor Logistics,Transport,11800,30,Open tender,fuel supply — phase 1,
T-01490,2025-05-21,Ministry of Health,V-008,Junction Builders,Construction,52200,30,Open tender,facade works — Q2 — south wing,
T-01491,2024-05-05,Ministry of Justice,V-091,Keystone Engineering,Construction,20200,30,Limited tender,structural repairs — Q1 — north wing,
T-01492,2024-02-08,Ministry of Digital Affairs,V-113,Northbound Group,Consulting,19300,30,Limited tender,compliance audit — Q4 — west wing,
T-01493,2025-10-19,Ministry of Justice,V-076,Glacier Builders,Construction,20400,30,Limited tender,roof refurbishment — framework lot B,
T-01494,2024-08-21,Ministry of Health,V-111,Trident Movers,Transport,74900,30,Open tender,fuel supply — Q2 — south wing,
T-01495,2024-10-22,Ministry of Justice,V-014,Granite Supplies,Office supplies,6600,30,Simplified,paper and toner order — phase 1,
T-01496,2024-02-21,Ministry of Public Works,V-058,Forge Supplies,Office supplies,5600,30,Simplified,paper and toner order — Q4 — west wing,
T-01497,2024-03-30,Ministry of Education,V-188,Quanta Advisory,Consulting,9300,30,Simplified,process review — phase 2,
T-01498,2024-11-09,Ministry of Health,V-164,Apex Diagnostics,Medical equipment,16500,45,Limited tender,diagnostic kits — framework lot B,
T-01499,2024-12-17,Ministry of Digital Affairs,V-180,Acme Logistics,Transport,13200,60,Open tender,fuel supply — Q3 — east wing,
T-01500,2024-06-21,Ministry of Public Works,V-081,Granite Engineering,Construction,23500,30,Limited tender,site preparation — Q1 — north wing,
T-01501,2025-06-15,Ministry of Transport,V-171,Fortis MedTech,Medical equipment,62800,30,Open tender,MRI maintenance — Q3 — east wing,
T-01502,2024-05-14,Ministry of Public Works,V-174,Meridian Systems,IT services,43000,30,Limited tender,support contract — Q1 — north wing,
T-01503,2025-12-12,Ministry of Health,V-126,Fortis Engineering,Construction,41000,14,Limited tender,facade works — phase 1,
T-01504,2024-08-02,Ministry of Health,V-059,Xenon Contracting,Construction,57200,30,Open tender,office renovation — phase 1,
T-01505,2024-02-02,Ministry of Justice,V-189,Rivera Cargo,Transport,11400,30,Limited tender,vehicle leasing — framework lot A,
T-01506,2024-03-08,Ministry of Digital Affairs,V-065,Quanta Solutions,IT services,88000,30,Open tender,endpoint refresh — framework lot B,
T-01507,2024-09-14,Ministry of Public Works,V-199,BetaTech Care,Medical equipment,39100,60,Open tender,MRI maintenance — phase 1,
T-01508,2024-08-29,Ministry of Public Works,V-176,Northbound Consulting,Consulting,24100,30,Open tender,process review — Q3 — east wing,
T-01509,2025-03-03,Ministry of Public Works,V-092,Ember Advisory,Consulting,15900,45,Limited tender,risk assessment — Q4 — west wing,
T-01510,2024-12-24,Ministry of Health,V-191,Summit Transport,Transport,10000,30,Simplified,vehicle leasing — framework lot B,
T-01511,2025-09-14,Ministry of Transport,V-116,Westwind Tech,Consulting,7200,30,Simplified,compliance audit — annual contract,
T-01512,2025-09-20,Ministry of Transport,V-071,BetaTech Distributors,Office supplies,6900,30,Simplified,desk and shelving — Q2 — south wing,
T-01513,2025-06-26,Ministry of Transport,V-111,Trident Movers,Transport,25100,45,Limited tender,vehicle leasing — Q2 — south wing,
T-01514,2024-05-09,Ministry of Education,V-003,Indigo Tech,IT services,40000,30,Open tender,support contract — phase 1,
T-01515,2025-11-24,Ministry of Health,V-160,Vertex Cargo,Transport,14100,30,Limited tender,vehicle leasing — Q1 — north wing,
T-01516,2024-05-25,Ministry of Health,V-117,Xenon Software,IT services,31000,30,Limited tender,network upgrade — phase 1,
T-01517,2025-01-02,Ministry of Transport,V-002,Rivera Transport,Transport,8400,14,Simplified,fuel supply — phase 2,
T-01518,2025-03-20,Ministry of Justice,V-073,Acme Tech,IT services,60700,90,Open tender,ERP rollout — Q2 — south wing,
T-01519,2025-11-19,Ministry of Justice,V-183,Helios Engineering,Construction,94300,30,Single-source,office renovation — phase 1,
T-01520,2025-07-11,Ministry of Digital Affairs,V-057,Acme Care,Medical equipment,15400,30,Simplified,surgical instruments — annual contract,
T-01521,2025-09-01,Ministry of Justice,V-103,Pioneer Movers,Construction,41400,60,Open tender,structural repairs — Q3 — east wing,
T-01522,2024-01-28,Ministry of Education,V-145,Orion Stationery,Office supplies,6300,60,Limited tender,ergonomic chairs batch — phase 1,
T-01523,2025-12-31,Ministry of Transport,V-035,Kelvin Software,IT services,11400,30,Limited tender,support contract — framework lot A,
T-01524,2025-12-28,Ministry of Health,V-140,Lumen Contracting,Construction,85400,60,Limited tender,site preparation — framework lot B,
T-01525,2024-07-02,Ministry of Transport,V-114,Evergreen Works,Construction,54100,30,Open tender,roof refurbishment — phase 2,
T-01526,2024-01-30,Ministry of Justice,V-110,Zenith Stationery,Office supplies,7100,30,Open tender,paper and toner order — annual contract,
T-01527,2024-12-27,Ministry of Education,V-023,Orion Construction,Construction,174800,30,Open tender,facade works — framework lot B,
T-01528,2024-03-04,Ministry of Transport,V-096,Junction Strategy,Consulting,7900,30,Simplified,strategy advisory — annual contract,
T-01529,2025-07-16,Ministry of Justice,V-033,Citadel Software,IT services,22600,60,Limited tender,network upgrade — Q1 — north wing,
T-01530,2024-07-25,Ministry of Transport,V-022,Orion Freight,Transport,12200,30,Open tender,delivery contract — Q2 — south wing,
T-01531,2024-06-29,Ministry of Health,V-075,Citadel Contracting,Construction,14700,60,Open tender,facade works — framework lot B,
T-01532,2025-05-01,Ministry of Justice,V-190,Cascade Consulting,Consulting,30300,30,Open tender,compliance audit — Q3 — east wing,
T-01533,2025-06-02,Ministry of Digital Affairs,V-058,Forge Supplies,Office supplies,15300,30,Open tender,stationery resupply — Q1 — north wing,
T-01534,2025-07-01,Ministry of Education,V-125,Forge Software,IT services,56400,14,Open tender,support contract — Q2 — south wing,
T-01535,2024-08-27,Ministry of Justice,V-134,Xenon Tech,IT services,36700,30,Limited tender,network upgrade — annual contract,
T-01536,2024-10-31,Ministry of Education,V-015,Granite Partners,Office supplies,5600,90,Simplified,desk and shelving — phase 1,
T-01537,2024-06-22,Ministry of Public Works,V-157,Bluefin Logistics,Transport,19300,30,Open tender,fuel supply — Q1 — north wing,
T-01538,2024-11-08,Ministry of Justice,V-048,Junction Supplies,Office supplies,11800,30,Open tender,desk and shelving — Q4 — west wing,
T-01539,2024-12-24,Ministry of Justice,V-122,Helios Supplies,Office supplies,7300,30,Simplified,printer cartridges — phase 2,
T-01540,2025-12-29,Ministry of Public Works,V-171,Fortis MedTech,Medical equipment,93800,45,Open tender,surgical instruments — annual contract,
T-01541,2025-06-21,Ministry of Health,V-038,Indigo Stationery,Office supplies,6200,30,Simplified,desk and shelving — phase 1,
T-01542,2025-06-11,Ministry of Health,V-009,Ivory Movers,Transport,48200,30,Open tender,vehicle leasing — Q3 — east wing,
T-01543,2025-10-21,Ministry of Education,V-120,Junction Freight,Transport,5400,14,Simplified,vehicle leasing — framework lot B,
T-01544,2025-04-28,Ministry of Justice,V-129,Bluefin Solutions,IT services,8200,30,Limited tender,cloud migration — Q3 — east wing,
T-01545,2024-06-04,Ministry of Public Works,V-168,Legacy Group,Consulting,25500,30,Open tender,process review — phase 1,
T-01546,2025-02-14,Ministry of Digital Affairs,V-196,Vertex Group,Consulting,6300,14,Limited tender,compliance audit — annual contract,
T-01547,2025-03-27,Ministry of Justice,V-121,Granite Transport,Transport,26700,45,Limited tender,delivery contract — phase 1,
T-01548,2024-01-30,Ministry of Justice,V-034,Rivera Consulting,Consulting,39200,30,Limited tender,transformation programme — annual contract,
T-01549,2025-06-22,Ministry of Health,V-018,Yara Construction,Construction,54800,30,Limited tender,office renovation — framework lot A,
T-01550,2024-04-17,Ministry of Digital Affairs,V-174,Meridian Systems,IT services,130600,90,Limited tender,ERP rollout — Q2 — south wing,
T-01551,2024-06-14,Ministry of Health,V-045,Bluefin Cargo,Transport,20100,90,Limited tender,fleet maintenance — phase 1,
T-01552,2025-05-17,Ministry of Transport,V-030,Yara Partners,Consulting,23500,30,Open tender,transformation programme — Q1 — north wing,
T-01553,2024-08-30,Ministry of Digital Affairs,V-045,Bluefin Cargo,Transport,31000,30,Open tender,delivery contract — framework lot B,
T-01554,2024-04-03,Ministry of Education,V-052,Acme Partners,Consulting,25200,30,Limited tender,process review — Q3 — east wing,
T-01555,2025-12-02,Ministry of Justice,V-112,Evergreen Supplies,Office supplies,36300,30,Open tender,paper and toner order — Q2 — south wing,
T-01556,2025-07-12,Ministry of Public Works,V-053,Lumen Care,Medical equipment,135400,14,Open tender,imaging consumables — framework lot B,
T-01557,2024-04-17,Ministry of Digital Affairs,V-019,Summit Care,Medical equipment,63400,90,Open tender,imaging consumables — framework lot A,
T-01558,2024-11-08,Ministry of Transport,V-049,Helios Cargo,Transport,62500,30,Open tender,vehicle leasing — framework lot B,
T-01559,2024-05-29,Ministry of Health,V-036,Forge Digital,IT services,12300,30,Limited tender,support contract — Q2 — south wing,
T-01560,2024-07-25,Ministry of Education,V-033,Citadel Software,IT services,26300,30,Limited tender,cloud migration — framework lot B,
T-01561,2025-12-03,Ministry of Transport,V-085,Pioneer Builders,Construction,91600,30,Limited tender,roof refurbishment — phase 2,
T-01562,2025-04-30,Ministry of Justice,V-018,Yara Construction,Construction,27200,30,Limited tender,facade works — Q4 — west wing,
T-01563,2024-05-07,Ministry of Digital Affairs,V-133,Juno Diagnostics,Office supplies,20700,14,Limited tender,paper and toner order — framework lot A,
T-01564,2024-01-14,Ministry of Education,V-068,Xenon Strategy,Consulting,23700,30,Limited tender,risk assessment — Q1 — north wing,
T-01565,2025-04-06,Ministry of Digital Affairs,V-036,Forge Digital,IT services,103800,30,Limited tender,cloud migration — Q4 — west wing,
T-01566,2024-03-21,Ministry of Digital Affairs,V-127,Citadel Supplies,Office supplies,12400,60,Simplified,paper and toner order — phase 2,
T-01567,2024-04-14,Ministry of Education,V-019,Summit Care,Construction,135700,30,Limited tender,structural repairs — Q1 — north wing,
T-01568,2025-08-04,Ministry of Public Works,V-027,Rivera Logistics,Transport,16300,30,Limited tender,logistics services — phase 1,
T-01569,2024-02-16,Ministry of Education,V-059,Xenon Contracting,Construction,45600,45,Limited tender,facade works — annual contract,
T-01570,2024-02-11,Ministry of Public Works,V-175,Citadel Builders,Construction,77200,30,Open tender,roof refurbishment — Q3 — east wing,
T-01571,2024-04-03,Ministry of Health,V-111,Trident Movers,Transport,18700,30,Limited tender,delivery contract — phase 2,
T-01572,2024-03-05,Ministry of Education,V-091,Keystone Engineering,Construction,23300,14,Limited tender,office renovation — Q1 — north wing,
T-01573,2025-10-29,Ministry of Justice,V-059,Xenon Contracting,Construction,8600,60,Simplified,facade works — Q1 — north wing,
T-01574,2025-04-04,Ministry of Health,V-004,Ivory Logistics,Transport,16500,14,Limited tender,fuel supply — framework lot A,
